SkaterID,Category,JudgeScore,DifficultyRating,Firstname,SchoolName,DOB,CategoryID,MoveID,SchoolID,Gender,Surname,Move
5,Spin,3,3,Hermila,Arch Secondary School,05/04/2000,SP,15,5,F,Guse,Flying 1
6,Spin,4,3,Glen,Hill Academy,11/11/2003,SP,15,1,M,Derksen,Flying 1
7,Spin,6,3,Isidro,Jackson Free School,14/02/2000,SP,15,7,M,Thaler,Flying 1
8,Spin,6,3,Norman,Atlantic Free School,10/05/2003,SP,15,8,M,Krok,Flying 1
9,Spin,5,3,Benita,Arch Secondary School,10/02/2001,SP,15,5,F,Arvin,Flying 1
11,Spin,3,3,Clark,Arch Secondary School,25/10/2001,SP,16,5,M,Tatro,Flying 2
12,Spin,5,3,Shad,Jackson Free School,12/03/2001,SP,16,7,M,Human,Flying 2
13,Spin,4,3,Edward,Atlantic Free School,14/08/2002,SP,16,8,M,Wallace,Flying 2
14,Spin,5,3,Lue,Hartle Sixth Form,13/12/2006,SP,16,4,F,Sherburne,Flying 2
17,Spin,1,3,Brittaney,Prospect Secondary School,14/01/2005,SP,16,3,F,Webber,Flying 2
19,Spin,6,3,Cecil,Hartle Sixth Form,03/04/2002,SP,16,4,M,Wiltz,Flying 2
26,Spin,3,3,Hassan,Forest Secondary School,21/11/2003,SP,16,9,M,Bavaro,Flying 2
3,Spin,4,3,Rochelle,Canterbury Free School,06/11/2002,SP,16,2,F,Meche,Flying 2
33,Spin,3,3,Harriett,Atlantic Free School,28/11/2006,SP,16,8,F,Kettner,Flying 2
37,Spin,3,3,Deloise,Prospect Secondary School,26/05/2007,SP,16,3,F,David,Flying 2
4,Spin,3,3,Larhonda,Jackson Free School,13/10/2003,SP,16,7,F,Mancino,Flying 2
45,Spin,6,3,Thresa,Hill Academy,21/10/2001,SP,16,1,F,Dingess,Flying 2
47,Spin,6,3,Gilberto,Hartle Sixth Form,15/05/2001,SP,16,4,M,Fontes,Flying 2
10,Spin,2,1,Terrilyn,Hill Academy,18/12/2006,SP,8,1,F,Delozier,Sit
18,Spin,3,1,Lanny,Forest Secondary School,17/06/2001,SP,8,9,M,Brune,Sit
22,Spin,4,1,Lurlene,Canterbury Free School,19/02/2005,SP,8,2,F,Smitherman,Sit
25,Spin,3,1,Darin,Hill Academy,06/12/2006,SP,8,1,M,Rather,Sit
26,Spin,1,1,Hassan,Forest Secondary School,21/11/2003,SP,8,9,M,Bavaro,Sit
32,Spin,4,1,Evalyn,Hartle Sixth Form,07/08/2006,SP,8,4,F,Tedder,Sit
34,Spin,2,1,Garfield,Elm Academy,01/10/2000,SP,8,6,M,Fajardo,Sit
38,Spin,2,1,Kaitlyn,Arch Secondary School,15/02/2004,SP,8,5,F,Glessner,Sit
41,Spin,1,1,Chantell,Jackson Free School,27/12/2006,SP,8,7,F,Dorazio,Sit
42,Spin,5,1,Kortney,Forest Secondary School,16/07/2000,SP,8,9,F,Scanlon,Sit
46,Spin,1,1,Arnoldo,Elm Academy,08/05/2005,SP,8,6,M,Janecek,Sit
49,Spin,6,1,Florentina,Hill Academy,22/07/2003,SP,8,1,F,Silverman,Sit
6,Spin,1,1,Glen,Hill Academy,11/11/2003,SP,8,1,M,Derksen,Sit
9,Spin,4,1,Benita,Arch Secondary School,10/02/2001,SP,8,5,F,Arvin,Sit
5,Spin,6,2,Hermila,Arch Secondary School,05/04/2000,SP,9,5,F,Guse,Camel
10,Spin,1,2,Terrilyn,Hill Academy,18/12/2006,SP,9,1,F,Delozier,Camel
11,Spin,6,2,Clark,Arch Secondary School,25/10/2001,SP,9,5,M,Tatro,Camel
14,Spin,1,2,Lue,Hartle Sixth Form,13/12/2006,SP,9,4,F,Sherburne,Camel
15,Spin,6,2,Marceline,Hill Academy,19/02/2000,SP,9,1,F,Doane,Camel
18,Spin,3,2,Lanny,Forest Secondary School,17/06/2001,SP,9,9,M,Brune,Camel
20,Spin,5,2,Royce,Atlantic Free School,02/02/2006,SP,9,8,M,Mcbeth,Camel
21,Spin,2,2,Victor,Forest Secondary School,21/07/2005,SP,9,9,M,Gieseke,Camel
23,Spin,4,2,Delilah,Arch Secondary School,19/02/2000,SP,9,5,F,Fagundes,Camel
24,Spin,6,2,Sidney,Hill Academy,11/07/2001,SP,9,1,M,Mcgoldrick,Camel
26,Spin,4,2,Hassan,Forest Secondary School,21/11/2003,SP,9,9,M,Bavaro,Camel
39,Spin,5,2,Karen,Jackson Free School,28/06/2003,SP,9,7,F,Westervelt,Camel
4,Spin,3,2,Larhonda,Jackson Free School,13/10/2003,SP,9,7,F,Mancino,Camel
48,Spin,4,2,Arletta,Canterbury Free School,20/03/2001,SP,9,2,F,Abalos,Camel
49,Spin,2,2,Florentina,Hill Academy,22/07/2003,SP,9,1,F,Silverman,Camel
6,Spin,1,2,Glen,Hill Academy,11/11/2003,SP,9,1,M,Derksen,Camel
12,Spin,6,2,Shad,Jackson Free School,12/03/2001,SP,10,7,M,Human,Layback
